"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2025MN88","2025-07-03 13:30","2075-09-25 09:49","8.18E-09","-8.79"
"2025MJ2","2025-07-02 12:57","2114-10-12 02:48","6.11E-09","-6.71"
"2025MJ90","2025-07-01 14:08","2070-04-01 17:53","1.94E-07","-4.37"
"2025ML2","2025-06-30 14:33","2097-06-22 04:12","5.49E-08","-7.75"
"2025MN88","2025-06-27 15:18","2089-09-16 11:47","6.17E-08","-8.02"
"2025ML2","2025-06-25 16:59","2060-06-21 19:13","2.36E-07","-6.73"
"2025LL","2025-06-24 16:20","2103-08-19 14:42","1.29E-09","-7.75"
"2025KC3","2025-06-20 13:23","2121-08-20 03:58","2.19E-11","-8.21"
"2025ML","2025-06-19 13:34","2065-07-01 07:28","1.10E-11","-11.22"
"2025KK","2025-06-18 13:43","2123-05-30 02:52","2.19E-06","-7.32"
"2025MB","2025-06-18 13:37","2076-06-18 02:52","2.76E-04","-5.88"
"2016WN55","2025-06-17 13:54","2084-01-20 03:21","4.20E-07","-6.90"
"2025KT6","2025-06-14 13:11","2121-06-25 00:38","4.77E-10","-8.91"
"2025LS","2025-06-14 13:09","2051-04-02 03:41","2.04E-11","-9.65"
"2025LB","2025-06-03 13:12","2068-06-03 17:47","7.49E-07","-6.88"
"2025HT6","2025-05-27 13:15","2121-01-01 08:52","5.02E-08","-6.87"
"2025KG1","2025-05-27 13:00","2096-09-07 06:20","7.63E-09","-6.99"
"2025KB1","2025-05-23 13:21","2104-05-20 16:11","2.93E-06","-5.96"
"2025KR","2025-05-22 13:31","2081-05-25 08:52","1.24E-08","-7.64"
"2025KM","2025-05-22 13:28","2116-07-28 05:50","1.99E-07","-8.75"
"2025KD","2025-05-21 13:36","2125-05-17 01:55","1.49E-09","-9.63"
"2025HT6","2025-05-21 13:36","2126-01-01 02:55","5.87E-08","-6.81"
"2025FA22","2025-05-17 14:42","2089-09-19 06:13","4.59E-07","-4.78"
"2025HT6","2025-05-17 12:55","2107-01-01 04:37","2.14E-10","-9.14"
"2010LY74","2025-05-16 08:53","2026-01-10 13:54","2.07E-10","-4.62"
"2025GX","2025-05-09 13:38","2081-04-19 08:23","8.26E-08","-8.14"
"2023UY3","2025-05-07 14:21","2119-04-20 13:14","1.72E-06","-7.05"
"2025HM15","2025-05-04 12:57","2110-05-30 08:34","8.14E-11","-8.78"
"2025HY1","2025-05-03 13:04","2083-04-15 11:45","9.26E-07","-7.27"
"2025HJ5","2025-05-02 13:54","2124-05-23 03:47","1.61E-09","-10.06"
"2025HS18","2025-05-01 13:10","2090-05-07 10:22","2.82E-07","-7.85"
"2025HM15","2025-05-01 13:06","2124-05-29 15:39","7.62E-10","-8.03"
