"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2024GD","2024-04-09 13:00","2102-03-27 02:18","7.21E-08","-7.23"
"2024FL4","2024-04-04 12:41","2115-03-25 11:02","6.23E-08","-5.66"
"2023XJ2","2024-03-30 14:47","2067-12-02 16:53","1.02E-06","-5.71"
"2024FX","2024-03-30 13:41","2110-06-21 18:33","2.43E-07","-4.53"
"2024FK2","2024-03-29 18:08","2076-05-05 14:12","9.28E-09","-6.16"
"2024FK","2024-03-28 12:51","2089-09-05 07:21","5.09E-09","-8.33"
"2024EW3","2024-03-18 13:25","2096-06-02 12:04","9.27E-09","-9.96"
"2023XN13","2024-03-17 12:57","2116-06-03 18:02","8.74E-08","-8.97"
"2023XC14","2024-03-16 12:54","2066-12-31 17:00","1.31E-05","-4.19"
"2024ER2","2024-03-15 13:06","2077-09-29 10:31","1.57E-10","-7.12"
"2024EK3","2024-03-14 13:39","2118-03-16 23:08","3.54E-07","-8.59"
"2024EH","2024-03-12 12:51","2101-03-08 17:35","2.64E-07","-7.80"
"2024EP","2024-03-12 12:41","2094-03-25 15:39","1.10E-07","-6.82"
"2024EV","2024-03-11 13:14","2094-02-16 23:05","2.39E-09","-9.42"
"2024EN2","2024-03-11 13:05","2081-03-04 09:37","3.54E-08","-8.00"
"2023XJ10","2024-03-09 16:56","2064-12-15 06:48","2.77E-10","-9.49"
"2023VD5","2024-03-09 16:52","2086-11-05 17:16","1.75E-09","-8.52"
"2023SU4","2024-03-09 16:22","2101-09-16 17:31","4.40E-08","-8.63"
"2024EX1","2024-03-09 15:37","2116-03-01 02:09","2.41E-08","-8.07"
"2024EC","2024-03-09 15:25","2105-03-07 11:33","3.18E-09","-8.07"
"2024EQ1","2024-03-08 13:40","2046-09-08 18:57","6.96E-10","-8.66"
"2024CZ6","2024-03-02 13:02","2116-11-22 11:33","3.82E-11","-10.93"
"2024AL3","2024-03-01 13:00","2099-01-03 22:53","1.10E-08","-7.42"
"2024CR9","2024-03-01 12:48","2101-06-14 22:46","6.91E-09","-5.95"
"2024BF","2024-02-28 12:56","2110-04-30 05:30","5.47E-11","-10.32"
"2024CA3","2024-02-28 12:52","2068-08-12 14:38","1.13E-10","-8.81"
"2024DA","2024-02-20 15:13","2053-02-09 03:43","9.65E-09","-8.86"
"2017PY26","2024-02-15 16:35","2111-08-19 03:33","2.57E-07","-5.35"
"2024AB3","2024-02-13 14:54","2118-06-24 23:43","1.33E-11","-11.50"
"2024BD4","2024-02-13 14:47","2103-10-23 12:41","4.64E-11","-11.42"
"2022OT1","2024-02-09 15:14","2120-02-05 10:25","4.68E-06","-5.86"
"2018MC5","2024-02-04 16:14","2119-07-02 18:21","2.27E-08","-8.30"
"2024BD4","2024-02-04 16:01","2104-10-29 22:11","1.19E-09","-10.00"
"2004XG29","2024-02-04 15:38","2114-12-08 11:02","1.36E-07","-7.49"
"2009SU104","2024-02-04 15:37","2109-01-28 19:47","4.12E-08","-7.85"
"2016BQ15","2024-02-02 14:22","2072-02-07 09:07","3.19E-09","-8.28"
"2017UQ7","2024-02-02 13:44","2121-10-24 04:16","5.51E-08","-7.57"
"2018AL12","2024-02-01 15:04","2119-08-07 11:20","3.66E-08","-7.47"
"2023XJ2","2024-01-31 16:15","2107-12-02 03:09","1.05E-07","-6.98"
"2021VH","2024-01-31 14:28","2120-04-02 09:18","4.03E-08","-10.13"
"2011DV10","2024-01-31 13:15","2093-02-18 04:50","1.17E-06","-5.87"
"2024AN6","2024-01-30 15:11","2093-08-09 03:03","2.88E-11","-7.65"
"2021TO6","2024-01-30 15:01","2100-07-24 07:55","7.05E-08","-7.15"
"2015RO82","2024-01-29 14:59","2112-05-26 11:19","1.05E-08","-7.65"
"2021EC4","2024-01-29 13:15","2121-03-23 00:06","2.43E-06","-5.37"
"2024AB5","2024-01-24 13:26","2072-06-29 17:27","5.74E-09","-4.35"
"2023CH3","2024-01-22 13:53","2120-03-18 22:00","7.14E-10","-8.93"
"2024AN2","2024-01-19 14:06","2121-02-04 16:33","2.25E-11","-9.27"
"2023XY10","2024-01-17 13:54","2091-12-14 16:43","1.98E-09","-6.64"
"2024AS3","2024-01-17 13:26","2122-01-07 04:58","5.21E-08","-5.63"
"2023VH6","2024-01-16 14:02","2112-11-28 22:36","2.35E-03","-3.24"
"2024AJ1","2024-01-16 13:45","2118-11-24 22:15","4.02E-06","-4.33"
"2024AA4","2024-01-14 13:56","2035-12-15 07:13","2.82E-11","-7.72"
"2024AV2","2024-01-13 14:13","2123-01-02 11:49","9.37E-10","-10.07"
"2023XM14","2024-01-13 13:06","2105-10-30 20:21","7.76E-08","-6.57"
"2023XY10","2024-01-10 16:37","2091-12-14 16:54","3.74E-09","-6.37"
"2023XN10","2024-01-10 16:29","2046-01-02 10:02","3.14E-09","-7.54"
"2023XW14","2024-01-10 15:16","2122-01-20 20:32","2.32E-11","-8.75"
"2024AF2","2024-01-10 15:00","2109-11-27 17:14","4.60E-10","-6.67"
"2024AT","2024-01-09 13:38","2115-06-03 21:31","4.07E-10","-7.99"
"2024AS1","2024-01-09 13:36","2114-01-10 12:31","1.50E-11","-11.93"
"2024AG","2024-01-04 14:18","2074-06-27 11:04","2.49E-11","-10.85"
"2023XN13","2023-12-31 13:55","2121-06-04 06:50","3.27E-10","-11.50"
"2023XW14","2023-12-31 13:36","2122-01-20 20:37","1.28E-07","-5.00"
"2023XA10","2023-12-29 13:39","2079-12-09 06:26","1.17E-09","-8.11"
"2023YL","2023-12-28 13:32","2119-07-07 09:05","1.38E-11","-8.87"
"2023XK13","2023-12-26 12:47","2121-12-11 07:51","1.23E-08","-7.04"
"2023XP13","2023-12-23 14:36","2036-05-31 05:29","3.87E-09","-7.71"
"2023XE18","2023-12-21 14:58","2105-06-25 08:56","2.12E-10","-7.76"
"2023XA8","2023-12-21 12:43","2104-02-03 14:27","6.41E-07","-5.34"
"2021UP","2023-12-20 15:29","2113-10-18 15:05","1.03E-05","-5.64"
"2023XJ2","2023-12-20 15:20","2085-12-02 10:17","1.86E-07","-6.57"
"2023YP","2023-12-20 13:23","2114-02-11 16:19","6.50E-08","-8.87"
"2023XT","2023-12-19 14:16","2120-02-05 01:45","6.68E-07","-8.27"
"2023VK2","2023-12-19 13:55","2090-04-30 16:59","9.82E-10","-8.56"
"2023XL14","2023-12-17 14:54","2047-01-16 06:44","9.94E-07","-7.14"
"2023XA10","2023-12-16 13:28","2079-12-09 06:27","2.02E-06","-4.88"
"2023XN10","2023-12-15 13:33","2046-01-02 11:27","8.75E-09","-7.03"
"2023XX7","2023-12-12 14:44","2082-01-05 09:42","1.59E-11","-10.36"
"2019YV1","2023-12-11 16:53","2119-06-20 08:19","5.46E-07","-6.85"
"2023XZ4","2023-12-11 14:14","2089-06-20 04:14","1.95E-10","-9.04"
"2023VO5","2023-12-11 13:51","2095-04-08 13:19","1.62E-08","-6.06"
"2020XV6","2023-12-10 13:24","2099-12-11 19:06","3.80E-09","-6.93"
"2023XS","2023-12-08 14:51","2088-12-13 15:00","4.55E-10","-9.66"
"2023TL4","2023-12-07 14:20","2119-10-10 20:24","8.93E-06","-2.33"
"2018VO6","2023-12-05 15:08","2118-05-08 06:39","2.03E-09","-8.54"
"2023VR2","2023-12-04 13:46","2112-10-29 09:20","5.79E-06","-5.63"
"2023WK","2023-12-03 12:57","2120-11-09 16:02","2.54E-10","-9.47"
"2023WZ2","2023-11-29 12:56","2074-11-29 14:52","7.39E-07","-3.60"
"2023WK","2023-11-21 13:28","2120-11-09 16:01","1.62E-09","-8.64"
"2023VN9","2023-11-20 12:57","2081-06-25 16:33","8.74E-09","-6.12"
"2023VN","2023-11-15 14:53","2087-10-13 15:03","2.09E-09","-8.82"
"2023UV4","2023-11-15 14:27","2116-10-20 21:24","2.24E-08","-8.49"
"2023VM6","2023-11-15 13:37","2080-05-30 07:16","2.77E-09","-5.43"
"2023VM5","2023-11-14 15:48","2092-12-20 22:51","1.23E-10","-9.88"
"2023VL5","2023-11-14 14:25","2050-01-27 06:08","4.77E-08","-6.32"
"2023VS3","2023-11-14 13:35","2099-10-07 01:18","1.16E-08","-5.99"
"2023VR2","2023-11-13 13:34","2112-10-29 09:02","4.26E-06","-5.75"
"2023VR5","2023-11-12 15:52","2048-04-23 21:25","7.92E-07","-7.31"
"2023VV3","2023-11-12 13:52","2056-12-07 06:44","3.60E-07","-4.84"
"2023VR","2023-11-10 14:32","2121-11-10 02:05","3.28E-07","-8.01"
"2023VC","2023-11-10 13:54","2076-11-27 19:09","1.13E-06","-6.24"
"2023VD3","2023-11-09 15:20","2034-11-08 17:09","3.28E-03","-2.58"
"2022TP","2023-11-09 14:43","2075-09-30 19:31","6.99E-11","-10.88"
"2023VU2","2023-11-09 14:37","2114-12-06 12:32","1.72E-08","-9.74"
"2023VB","2023-11-09 14:06","2053-10-18 22:51","2.66E-08","-7.28"
"2023VD2","2023-11-07 16:31","2043-11-07 17:18","5.22E-07","-8.40"
"2023TK15","2023-11-07 16:07","2052-10-19 15:17","4.42E-06","-5.16"
"2023VW","2023-11-05 13:39","2087-11-08 13:45","5.25E-08","-8.85"
"2004VZ14","2023-11-04 03:56","2076-11-01 21:39","4.75E-07","-6.39"
"2023TV15","2023-11-03 12:55","2109-08-29 11:38","1.74E-05","-4.20"
"2023VA","2023-11-02 14:09","2060-11-01 19:30","5.03E-07","-7.78"
"2023SO11","2023-11-02 14:07","2116-04-10 17:23","9.91E-06","-6.26"
"2023TB7","2023-11-02 13:55","2100-04-19 21:52","1.41E-10","-10.45"
"2022UE3","2023-10-31 15:30","2093-10-13 23:51","1.07E-04","-3.97"
"2023UH10","2023-10-31 13:29","2032-04-26 07:52","2.48E-07","-4.52"
"2023TV15","2023-10-23 13:12","2110-08-29 16:18","1.27E-07","-6.31"
"2023UO3","2023-10-22 16:31","2105-10-26 08:10","4.93E-11","-10.94"
"2023QP8","2023-10-22 13:34","2114-11-23 05:15","3.48E-07","-5.12"
"2023UL","2023-10-21 14:24","2115-10-10 11:40","9.83E-09","-9.71"
"2023TO17","2023-10-19 15:28","2090-10-14 03:50","3.48E-07","-8.62"
"2023TH","2023-10-18 14:36","2108-10-05 06:18","1.08E-07","-8.13"
"2023TS16","2023-10-18 14:35","2121-10-12 22:05","1.09E-08","-8.67"
"2023TQ3","2023-10-16 13:43","2101-10-15 12:43","1.84E-06","-6.16"
"2023TV3","2023-10-13 17:26","2039-10-12 10:15","2.37E-08","-8.31"
"2023TO4","2023-10-11 15:44","2042-10-14 12:46","1.21E-08","-8.59"
"2023TV3","2023-10-10 16:20","2041-10-11 23:54","1.16E-09","-9.68"
"2023TF3","2023-10-09 15:18","2111-03-19 04:53","5.78E-08","-7.48"
"2019CZ2","2023-10-08 15:51","2044-01-29 21:19","6.29E-08","-6.83"
"2023TH","2023-10-07 13:24","2108-10-05 06:58","7.53E-08","-8.33"
"2023RZ2","2023-10-06 14:20","2088-09-01 15:11","3.14E-09","-9.68"
"2017UC52","2023-09-28 13:43","2112-11-26 08:24","3.72E-09","-8.23"
"2023RW15","2023-09-25 13:57","2107-08-21 03:43","8.09E-11","-9.07"
"2023SN1","2023-09-20 14:00","2113-09-21 10:49","6.85E-09","-10.27"
"2022PC","2023-09-17 14:22","2121-08-05 23:55","1.14E-08","-7.85"
"2017FO128","2023-09-16 15:38","2121-03-15 22:20","1.21E-06","-4.90"
"2023NT1","2023-09-16 14:08","2044-07-12 15:32","5.01E-06","-4.91"
"2023RF11","2023-09-16 14:01","2116-09-10 11:10","5.94E-06","-6.62"
"2023QF5","2023-09-16 13:51","2032-03-10 11:54","9.41E-10","-4.88"
"2023RB4","2023-09-16 13:49","2067-10-22 00:57","3.44E-08","-6.13"
"2023QQ6","2023-09-12 13:36","2076-09-17 05:17","1.05E-10","-8.94"
"2023PN","2023-09-07 13:08","2109-07-29 17:50","7.91E-07","-6.43"
"2023MR1","2023-09-07 13:04","2100-06-23 18:21","1.76E-05","-4.30"
"2023QF4","2023-09-05 12:50","2067-08-17 22:40","5.76E-07","-5.33"
"2023QK1","2023-08-25 13:20","2120-09-08 21:02","7.83E-09","-6.34"
"2023QH","2023-08-24 13:27","2054-08-29 07:59","7.43E-07","-5.16"
"2023PN","2023-08-18 13:00","2109-07-29 05:05","3.18E-07","-6.83"
"2023PC1","2023-08-15 13:30","2083-08-19 10:06","4.45E-09","-6.45"
"2023PN","2023-08-14 13:35","2120-07-29 04:26","2.74E-09","-8.98"
"2023PN","2023-08-12 12:55","2121-07-30 01:09","1.34E-08","-8.29"
"2023PH","2023-08-12 12:52","2088-07-10 15:00","4.71E-09","-6.72"
"2023NO","2023-07-30 13:26","2111-07-07 20:26","3.42E-09","-10.51"
"2023NQ1","2023-07-25 07:03","2120-07-09 17:42","2.49E-07","-5.70"
"2023OQ","2023-07-20 12:55","2114-08-09 07:21","1.04E-11","-9.32"
"2023NQ1","2023-07-20 12:42","2120-07-09 17:49","3.96E-09","-7.53"
"2023EA2","2023-07-19 13:09","2111-03-30 00:15","2.31E-06","-4.83"
"2023LE","2023-07-11 12:52","2119-02-15 12:56","3.78E-07","-9.30"
"2023HM4","2023-07-10 13:29","2118-05-07 13:30","2.35E-03","-4.42"
"2010EN44","2023-07-09 16:06","2068-04-11 02:44","2.78E-10","-7.63"
"2023LA1","2023-07-04 12:53","2112-06-06 14:38","1.36E-09","-11.14"
"2023KT2","2023-06-30 13:26","2113-05-13 21:30","1.22E-06","-7.85"
"2023MU2","2023-06-25 13:25","2097-06-25 06:49","8.04E-09","-10.47"
"2023MX2","2023-06-25 13:18","2118-06-28 17:43","5.39E-04","-5.28"
"2023MM","2023-06-23 13:20","2097-12-31 02:05","1.01E-08","-7.14"
"2023MN","2023-06-20 13:16","2122-08-21 20:29","1.89E-08","-7.22"
"2023LY","2023-06-18 13:34","2074-05-27 13:49","1.23E-09","-8.02"
"2023HX2","2023-06-17 14:00","2106-04-07 12:31","8.60E-10","-9.49"
"2023HT4","2023-06-17 13:18","2101-05-02 05:15","3.17E-08","-6.89"
"2022KA2","2023-06-15 13:36","2114-05-20 20:09","1.49E-09","-10.64"
"2022OR","2023-06-13 14:45","2107-08-14 13:28","3.41E-10","-8.25"
"2023LE","2023-06-12 12:56","2119-02-15 12:56","1.12E-05","-7.80"
"2023LA","2023-06-09 12:52","2099-06-11 13:25","2.67E-10","-9.85"
"2023LA","2023-06-07 12:48","2078-06-11 05:55","9.68E-11","-10.13"
"2023JJ","2023-06-04 12:50","2111-05-08 20:14","1.01E-06","-7.28"
"2023KJ4","2023-05-30 13:49","2118-05-21 22:07","2.49E-08","-8.86"
"2023JC4","2023-05-29 14:01","2118-03-23 20:00","3.56E-10","-10.08"
"2023KX3","2023-05-29 13:31","2113-05-26 12:46","3.01E-08","-8.37"
"2019TK5","2023-05-27 15:02","2061-09-24 14:27","7.78E-06","-6.34"
"2020UQ3","2023-05-27 14:37","2112-07-26 16:17","5.88E-09","-8.05"
"2023HF2","2023-05-26 14:34","2073-04-15 23:34","7.18E-08","-6.90"
"2022WO7","2023-05-26 13:50","2107-05-30 18:45","2.59E-06","-5.65"
"2023KR","2023-05-25 12:40","2118-11-02 16:40","2.46E-10","-8.73"
"2023BZ","2023-05-24 11:14","2026-12-28 09:44","9.47E-10","-8.81"
"2023JD6","2023-05-23 14:14","2117-01-24 09:43","4.63E-08","-5.70"
"2023JZ4","2023-05-23 13:55","2110-06-02 02:59","1.07E-10","-10.20"
"2023KN","2023-05-22 14:36","2040-05-21 11:47","6.20E-08","-7.43"
"2023JJ","2023-05-22 14:34","2111-05-08 21:01","1.27E-06","-7.19"
"2023JK3","2023-05-19 13:42","2114-05-18 15:27","2.22E-06","-6.33"
"2023JK","2023-05-14 12:55","2088-05-17 04:13","3.82E-07","-6.45"
"2023HB7","2023-05-09 12:58","2114-04-12 03:18","2.73E-10","-10.11"
"2023HT4","2023-05-09 12:50","2101-05-02 05:25","6.73E-08","-6.56"
"2009FZ4","2023-05-09 11:12","2026-09-20 07:12","1.38E-07","-6.00"
"2023FY3","2023-05-06 12:48","2121-05-05 07:40","1.41E-09","-11.31"
"2018NL","2023-05-03 14:30","2060-06-29 00:28","9.95E-06","-5.20"
"2023HB7","2023-05-02 14:33","2115-04-08 21:34","4.62E-09","-8.86"
"2019GK21","2023-05-01 09:43","2099-04-08 22:14","1.28E-06","-6.47"
"2023GY2","2023-04-28 13:56","2110-05-15 02:00","4.93E-08","-6.45"
"2023HX4","2023-04-28 13:56","2033-08-27 05:05","5.16E-11","-6.98"
"2017DA120","2023-04-25 18:54","2029-09-14 00:58","2.53E-10","-6.75"
"2023HL1","2023-04-24 15:13","2118-05-12 15:08","1.21E-07","-7.42"
"2023HK3","2023-04-23 19:35","2116-07-29 09:21","7.81E-08","-8.97"
"2023GQ2","2023-04-20 14:32","2028-11-16 00:14","5.14E-05","-0.58"
"2023HK","2023-04-20 14:32","2065-04-18 17:08","1.79E-08","-8.49"
"2023FR14","2023-04-18 15:27","2064-09-02 10:16","2.79E-11","-8.19"
"2006HX57","2023-04-18 07:35","2065-05-09 12:19","3.06E-06","-5.58"
"2023EN","2023-04-17 15:22","2070-03-09 02:11","3.39E-11","-11.90"
"2023HA","2023-04-17 15:21","2120-04-15 05:03","2.00E-08","-9.29"
"2023GT1","2023-04-17 06:35","2117-04-08 13:30","1.97E-07","-8.76"
"2023FN13","2023-04-12 14:34","2109-10-05 14:19","1.25E-09","-10.47"
"2023FT3","2023-04-10 18:11","2104-02-15 03:45","4.78E-10","-10.08"
"2023EN2","2023-04-07 12:16","2118-09-29 23:32","8.18E-09","-7.46"
"2023FY3","2023-04-03 08:04","2104-06-10 04:46","1.09E-08","-10.33"
"2023EF3","2023-04-03 08:01","2112-08-25 22:03","5.16E-08","-5.15"
"2023ES","2023-04-03 08:01","2120-03-11 03:18","1.01E-07","-8.02"
"2023FT3","2023-04-02 07:09","2104-02-15 03:38","2.42E-09","-9.41"
"2023FS11","2023-03-30 15:11","2121-04-08 15:23","1.09E-07","-7.61"
"2023FE7","2023-03-30 14:28","2103-07-17 01:43","5.27E-10","-9.10"
"2023ES","2023-03-29 07:35","2083-03-11 00:04","1.44E-06","-6.69"
"2023FW3","2023-03-28 15:30","2034-09-28 12:41","6.04E-07","-4.85"
"2023FS3","2023-03-27 15:21","2121-04-12 22:04","7.85E-11","-7.84"
"2022UE2","2023-03-27 15:20","2119-04-18 11:18","8.89E-06","-5.12"
"2023FY3","2023-03-27 07:43","2065-04-22 20:30","5.20E-10","-11.47"
"2023EH2","2023-03-23 15:28","2061-03-02 06:25","1.94E-08","-6.94"
"2023EN2","2023-03-23 08:26","2112-09-29 10:03","1.14E-08","-7.29"
"2023ER1","2023-03-21 15:15","2115-03-11 21:28","1.76E-07","-8.16"
"2023DZ2","2023-03-20 16:16","2026-03-27 14:56","2.21E-06","-4.22"
"2023DW","2023-03-20 14:59","2049-02-14 15:16","8.43E-09","-7.49"
"2023ES","2023-03-15 15:30","2083-03-11 00:06","6.51E-06","-6.03"
"2023DT1","2023-03-12 19:29","2106-03-03 21:01","8.93E-09","-6.19"
"2023CE4","2023-03-07 14:53","2086-03-27 17:18","4.62E-11","-9.04"
"2023CX2","2023-02-25 18:05","2108-06-10 05:01","1.63E-07","-8.51"
"2023CM","2023-02-25 18:04","2059-07-02 23:21","1.15E-09","-7.09"
"2020DG4","2023-02-24 16:08","2097-02-18 08:52","4.22E-09","-10.23"
"2023CG2","2023-02-17 17:27","2067-02-16 23:03","7.68E-08","-7.80"
"2023CY","2023-02-17 07:52","2085-02-09 17:18","1.05E-10","-10.75"
"2023CH1","2023-02-14 14:56","2119-03-15 19:03","7.91E-10","-10.40"
"2017FW128","2023-02-14 07:47","2072-04-10 13:15","1.44E-09","-10.15"
"2018EB4","2023-02-13 15:29","2099-03-16 19:32","7.34E-07","-6.48"
"2015GB1","2023-02-13 15:28","2090-04-17 03:13","1.10E-08","-8.98"
"2023AJ1","2023-02-08 13:34","2096-01-10 13:03","3.20E-07","-3.84"
"2023BC8","2023-02-07 14:16","2083-02-15 11:27","2.38E-08","-7.29"
"2023BU2","2023-02-04 07:52","2122-01-13 08:20","2.11E-09","-6.77"
"2023BQ2","2023-02-02 08:11","2057-01-30 14:58","1.08E-08","-8.51"
"2023BU","2023-01-28 08:42","2077-01-20 20:37","2.23E-04","-6.04"
"2023BA3","2023-01-27 14:09","2048-02-01 05:35","8.98E-11","-10.55"
"2023AE2","2023-01-25 15:12","2091-01-14 13:05","5.14E-10","-9.34"
"2022YK6","2023-01-21 18:29","2114-06-25 18:17","4.27E-11","-10.39"
"2023AB1","2023-01-18 13:28","2082-01-21 14:05","2.43E-10","-7.35"
"2022YR6","2023-01-13 17:34","2046-05-22 19:00","1.35E-08","-6.06"
"2022QT5","2023-01-11 15:04","2112-02-17 12:48","1.85E-08","-8.43"
"2022YH3","2023-01-07 17:02","2107-05-31 11:38","1.04E-07","-6.06"
"2019WG2","2023-01-07 17:02","2119-11-24 14:28","1.36E-05","-5.05"
"2022WV9","2023-01-03 09:22","2109-01-14 03:40","1.86E-09","-8.83"
"2022YY","2022-12-28 10:24","2080-11-27 01:23","1.52E-08","-8.23"
"2022YH3","2022-12-26 07:35","2107-05-31 11:29","5.07E-08","-6.32"
"2022XG2","2022-12-24 09:55","2049-07-06 23:32","1.65E-10","-8.19"
"2022YX1","2022-12-24 09:54","2107-06-23 19:36","1.37E-08","-9.88"
"2018DN4","2022-12-23 14:00","2023-02-22 11:54","3.63E-07","-6.02"
"2022SD9","2022-12-23 06:40","2111-09-26 06:35","5.13E-04","-5.14"
"2022XE1","2022-12-16 07:43","2112-12-10 16:04","7.26E-11","-7.83"
"2022UX21","2022-12-11 18:02","2112-10-01 00:21","1.87E-08","-5.95"
"2022UU","2022-12-06 15:41","2048-10-13 13:18","2.97E-11","-10.77"
"2010VQ","2022-12-04 14:53","2120-10-08 09:33","9.59E-06","-6.82"
"2022VT2","2022-12-02 09:26","2116-11-30 22:51","6.90E-07","-7.16"
"2022WF3","2022-12-02 08:59","2043-04-30 03:24","9.94E-09","-6.57"
"2022EK4","2022-12-01 14:13","2081-03-15 10:41","1.50E-04","-4.70"
"2022WM3","2022-11-29 09:13","2114-11-19 23:35","1.13E-09","-11.02"
"2022WJ2","2022-11-29 09:12","2112-12-23 18:15","1.06E-05","-5.01"
"2022UE28","2022-11-28 08:27","2064-04-02 12:40","1.63E-06","-3.92"
"2022WM3","2022-11-23 09:21","2110-11-19 13:41","4.05E-08","-9.41"
"2022WV2","2022-11-23 09:20","2042-11-01 17:03","2.31E-09","-8.10"
"2022VT2","2022-11-21 09:35","2106-11-29 19:08","9.97E-07","-6.88"
"2022UN12","2022-11-21 09:34","2108-10-18 16:59","1.33E-09","-9.16"
"2022UR40","2022-11-20 08:47","2104-08-05 22:42","6.67E-08","-7.16"
"2022VB2","2022-11-19 10:16","2096-11-14 21:31","1.44E-07","-7.12"
"2022SU2","2022-11-14 08:00","2085-04-19 18:02","3.31E-07","-6.23"
"2022QU60","2022-11-08 15:28","2103-04-21 15:29","6.67E-10","-5.95"
"2022UA21","2022-11-06 10:07","2102-10-27 01:45","4.46E-07","-8.77"
"2022UN12","2022-11-06 10:05","2108-10-18 16:59","6.98E-07","-6.43"
"2022UT24","2022-11-06 10:02","2095-03-20 00:50","3.06E-08","-6.94"
"2022UK5","2022-11-06 10:01","2108-12-22 01:08","2.00E-11","-10.98"
"2022UA21","2022-11-03 08:39","2113-10-26 15:52","3.27E-08","-9.96"
"2022UA6","2022-11-02 08:07","2096-10-20 10:30","2.53E-11","-12.23"
"2022UM7","2022-10-30 08:20","2060-10-25 02:20","1.24E-10","-10.95"
"2022QC7","2022-10-28 07:46","2113-09-30 15:48","6.22E-11","-11.05"
"2022US6","2022-10-27 07:03","2050-11-06 05:42","4.01E-11","-10.96"
"2022UA5","2022-10-26 07:23","2101-06-24 23:15","5.34E-07","-8.98"
"2022TR5","2022-10-26 07:22","2117-10-14 02:35","4.84E-09","-8.51"
"2022UY5","2022-10-24 14:51","2119-10-26 19:24","2.53E-05","-6.06"
"2022UT2","2022-10-23 16:53","2079-09-01 08:04","3.25E-10","-7.37"
"2022UC1","2022-10-23 16:53","2100-10-28 11:57","6.83E-08","-8.17"
"2022UC5","2022-10-23 13:19","2118-12-01 10:29","6.30E-11","-10.14"
"2022UE3","2022-10-22 10:39","2073-10-14 02:11","1.77E-11","-10.59"
"2022UH2","2022-10-22 10:26","2049-04-09 11:51","2.49E-10","-10.53"
"2022UU","2022-10-21 07:40","2048-10-13 13:15","4.64E-08","-7.55"
"2022UN","2022-10-21 07:39","2115-10-16 01:56","9.61E-10","-7.40"
"2022SE6","2022-10-20 09:42","2106-09-22 01:35","2.92E-07","-7.36"
"2022RT","2022-10-13 15:13","2120-08-31 17:02","6.65E-08","-7.15"
"2022SB4","2022-10-12 14:30","2098-09-16 20:51","8.35E-11","-10.04"
"2022QO4","2022-10-02 16:31","2112-08-14 09:24","1.64E-08","-8.03"
"2022SE6","2022-10-02 16:30","2106-09-22 01:34","8.55E-07","-6.90"
"2022SJ4","2022-10-02 16:29","2120-04-27 05:12","2.24E-07","-5.67"
"2022SX11","2022-10-01 16:41","2093-09-25 01:07","6.54E-06","-5.76"
"2022SF11","2022-09-29 15:11","2065-02-27 22:27","1.58E-06","-4.19"
"2022PC","2022-09-27 11:55","2110-08-02 12:28","3.52E-09","-8.31"
"2022SS4","2022-09-26 13:45","2038-05-26 17:58","2.35E-07","-5.06"
"2022SB2","2022-09-26 06:49","2094-06-11 12:29","6.68E-08","-6.70"
"2022RM4","2022-09-26 06:48","2100-10-31 22:00","8.04E-09","-5.24"
"2022RP6","2022-09-23 10:55","2070-02-08 06:23","7.89E-11","-6.73"
"2010RF12","2022-09-22 13:59","2095-09-05 23:49","6.90E-02","-3.14"
"2022QC22","2022-09-16 12:48","2055-11-26 17:24","1.33E-06","-4.82"
"2022QU36","2022-09-14 14:04","2109-09-18 03:01","1.34E-11","-8.80"
"2022QD36","2022-09-14 13:11","2037-08-27 05:02","2.54E-06","-3.57"
"2022QX4","2022-09-12 13:33","2068-09-04 00:53","4.22E-03","-2.29"
"2022QN47","2022-09-12 12:40","2082-12-05 06:11","3.36E-07","-5.21"
"2022PC2","2022-09-11 07:35","2098-08-02 12:24","4.33E-10","-10.73"
"2021VH2","2022-09-09 08:19","2082-04-06 22:15","5.82E-06","-7.34"
"2022RB2","2022-09-07 13:10","2066-09-03 22:29","7.60E-11","-11.25"
"2022QH8","2022-09-07 13:00","2110-09-13 07:04","1.97E-10","-9.25"
"2022QO6","2022-09-07 07:46","2112-10-15 02:55","3.04E-08","-8.10"
"2022QU","2022-09-03 07:11","2119-09-11 10:33","1.26E-07","-6.63"
"2011BT59","2022-09-02 06:44","2078-04-11 18:12","5.21E-09","-5.83"
"2022QT5","2022-09-01 06:39","2105-12-23 14:51","9.47E-10","-9.69"
"2022LX","2022-08-30 14:25","2071-07-29 21:14","3.19E-09","-8.55"
"2022QP4","2022-08-26 08:45","2072-08-30 09:13","1.90E-08","-8.88"
"2022PD","2022-08-25 06:32","2104-07-27 02:02","9.16E-07","-5.96"
"2022QC","2022-08-20 17:14","2111-08-23 20:47","4.70E-11","-10.57"
"2022OR","2022-08-19 14:18","2085-08-12 08:23","2.14E-10","-8.31"
"2022MK1","2022-08-19 08:00","2118-07-20 15:56","4.45E-07","-6.25"
"2020BP12","2022-08-18 07:54","2109-01-23 05:44","1.43E-10","-10.51"
"2022PW","2022-08-16 07:38","2087-02-07 14:35","2.34E-08","-8.06"
"2017BF136","2022-08-16 07:37","2057-01-31 21:37","3.61E-09","-8.66"
"2020HO6","2022-08-12 15:57","2113-04-18 18:40","4.15E-07","-7.53"
