"No.","Object designation","Diameter in m","Impact date/time in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"1","2023VD3","11 - 24*","2034-11-08 17:08","1/425","-2.67","0","2034-2039","1/425","-2.67","21.01","749"
"2","2008JL3","23 - 50*","2027-05-01 09:05","1/6711","-2.73","0","2027-2122","1/6211","-2.73","14.01","6252"
"3","1979XB","400 - 900*","2056-12-12 21:38","1/4.27E6","-2.82","0","2056-2113","1/1.36E6","-2.70","27.54","6252"
"4","2000SG344","27 - 60*","2071-09-16 00:54","1/1117","-3.18","0","2069-2122","1/354","-2.77","11.27","6252"
"5","2025LK","11 - 25*","2052-06-08 14:51","1/499","-3.36","0","2052-2113","1/495","-3.36","14.90","173"
"6","2005QK76","27 - 60*","2030-02-26 08:15","1/33222","-3.39","0","2030-2108","1/15576","-3.26","22.66","6252"
"7","2007KE4","24 - 50*","2029-05-26 00:18","1/23419","-3.47","0","2026-2115","1/22883","-3.47","15.03","6252"
"8","2021GX9","24 - 50*","2032-04-16 21:51","1/19880","-3.49","0","2032","1/19880","-3.49","20.17","1686"
"9","2023DO","21 - 50*","2057-03-23 19:43","1/2044","-3.50","0","2057-2073","1/2000","-3.49","13.18","1005"
"10","2024RF10","8 - 18*","2092-09-07 12:39","1/155","-3.59","0","2092-2118","1/130","-3.51","14.21","443"
"11","2019VB37","30 - 80*","2049-04-26 01:30","1/17793","-3.65","0","2041-2088","1/17513","-3.65","18.34","1145"
"12","2016YM4","90 - 200*","2121-07-20 19:20","1/72463","-3.67","0","2121","1/72463","-3.67","22.03","3255"
"13","2011DU9","12 - 26*","2046-02-23 20:44","1/1466","-3.70","0","2046-2101","1/1455","-3.70","14.21","5334"
"14","2012QD8","70 - 150*","2047-03-08 23:22","1/170068","-3.71","0","2047-2120","1/165289","-3.70","23.58","4846"
"15","2024TK5","8 - 17*","2028-10-08 18:02","1/3436","-3.74","0","2028-2076","1/3436","-3.74","14.31","414"
"16","2020VV","10 - 22*","2050-10-11 10:13","1/497","-3.76","0","2044-2121","1/193","-3.43","11.47","1846"
"17","2018JD","13 - 29*","2067-05-08 13:21","1/787","-3.76","0","2067","1/564","-3.62","13.76","2761"
"18","2025BA1","8 - 18*","2032-01-15 18:00","1/3787","-3.82","0","2032-2082","1/3717","-3.82","17.43","309"
"19","2022UY14","26 - 60*","2043-04-28 22:24","1/32679","-3.90","0","2043","1/32679","-3.90","23.23","1123"
"20","2024JW16","170 - 400*","2116-12-09 08:38","1/1.08E6","-3.92","0","2050-2121","1/442477","-3.53","26.50","562"
"21","2013TP4","9 - 19*","2026-10-01 07:48","1/45248","-3.95","0","2026","1/45248","-3.95","27.66","4435"
"22","2014CR13","19 - 40*","2108-02-11 19:52","1/2747","-3.99","0","2102-2118","1/2652","-3.98","16.61","4305"
"23","2008FF5","60 - 140*","2060-03-27 18:06","1/518134","-4.02","0","2060-2064","1/518134","-4.02","41.02","6252"
"24","2021EU","23 - 50*","2056-08-29 02:46","1/22935","-4.02","0","2056-2123","1/19801","-3.97","23.98","1726"
"25","2006JY26","5 - 12*","2074-05-03 00:47","1/157","-4.04","0","2073-2120","1/146","-4.01","11.57","6252"
"26","2020VW","6 - 13*","2074-11-02 20:49","1/250","-4.05","0","2074-2093","1/128","-3.76","14.80","1846"
"27","2017WT28","6 - 14*","2104-11-24 16:31","1/147","-4.07","0","2083-2121","1/142","-4.06","12.04","2910"
"28","2021GE2","4 - 10*","2030-04-03 11:57","1/1483","-4.08","0","2030","1/1483","-4.08","18.99","1695"
"29","2007DX40","30 - 70*","2056-08-18 05:16","1/37593","-4.09","0","2030-2119","1/14577","-3.70","19.11","6252"
"30","2022NX1","6 - 14*","2075-12-04 18:11","1/236","-4.10","0","2075-2122","1/236","-4.10","11.18","1228"
"31","2014GN1","30 - 70*","2061-09-16 20:13","1/49261","-4.10","0","2061","1/49261","-4.10","23.99","4254"
"32","2020UL3","60 - 140*","2124-11-14 15:27","1/50000","-4.13","0","2122-2124","1/41666","-4.05","15.13","1860"
"33","2007VE8","20 - 50*","2062-11-06 02:54","1/9090","-4.14","0","2062","1/9090","-4.14","14.39","6252"
"34","2013VW13","15 - 30*","2080-11-08 16:20","1/4310","-4.14","0","2076-2097","1/2702","-3.94","19.81","4396"
"35","2008UB7","50 - 100*","2060-10-31 18:27","1/108695","-4.15","0","2051-2106","1/21739","-3.51","21.57","6238"
"36","2018TY4","6 - 14*","2033-10-05 16:21","1/2314","-4.18","0","2033","1/2314","-4.18","15.45","2601"
"37","2008EX5","40 - 90*","2083-10-09 17:02","1/43103","-4.19","0","2056-2090","1/32362","-4.04","14.94","6252"
"38","2024FS5","30 - 70*","2026-08-25 04:46","1/1.45E6","-4.20","0","2026","1/1.45E6","-4.20","26.73","599"
"39","2025NC","8 - 18*","2062-07-04 02:27","1/1005","-4.20","0","2062","1/1005","-4.20","14.17","146"
"40","2025SQ4","13 - 29*","2104-09-19 15:03","1/1631","-4.21","0","2104-2122","1/1157","-4.07","14.19","64"
"41","2006DM63","11 - 24*","2031-02-24 05:54","1/17301","-4.21","0","2031-2116","1/7142","-3.97","15.25","6252"
"42","2020KD3","14 - 30*","2083-05-26 21:12","1/2105","-4.22","0","2083-2105","1/2070","-4.21","13.71","2014"
"43","2024YR4"," 60 ","2047-12-22 01:14","1/125470","-4.22","0","2047","1/125000","-4.22","17.11","334"
"44","2025DT2","12 - 27*","2044-02-26 10:02","1/6369","-4.22","0","2044-2051","1/6369","-4.22","14.83","277"
"45","2022SX55","2.5 - 6*","2035-09-17 19:56","1/236","-4.23","0","2035-2045","1/235","-4.23","16.44","1149"
"46","2018DQ","4 - 9*","2027-02-21 16:52","1/8130","-4.24","0","2027-2121","1/5208","-4.22","23.67","2832"
"47","2020CQ1","5 - 11*","2070-02-03 04:33","1/224","-4.25","0","2070-2119","1/221","-4.25","12.20","2120"
"48","2020OB","50 - 110*","2116-07-23 09:37","1/104602","-4.29","0","2114-2121","1/53191","-3.99","27.79","1957"
"49","2022AT2","11 - 25*","2080-01-14 08:33","1/1385","-4.29","0","2080","1/1385","-4.29","12.90","1418"
"50","2014ML67","40 - 90*","2027-07-03 19:46","1/1.99E6","-4.29","0","2027","1/1.99E6","-4.29","24.13","4149"
"51","2025SK22","15 - 30*","2076-09-21 01:03","1/4219","-4.29","0","2076-2125","1/4032","-4.27","14.22","57"
"52","2015YJ","5 - 12*","2059-12-14 08:15","1/1029","-4.30","0","2042-2122","1/628","-4.07","19.80","3630"
"53","2009BE","16 - 30*","2083-01-25 02:21","1/5291","-4.33","0","2045-2122","1/2631","-4.03","16.01","6156"
"54","2022YS6","11 - 25*","2066-01-03 06:26","1/3289","-4.34","0","2065-2075","1/3236","-4.33","15.03","1062"
"55","2010UK","11 - 24*","2068-10-15 10:39","1/2369","-4.38","0","2068-2121","1/2232","-4.36","12.73","5517"
"56","2021AM6","14 - 30*","2070-01-05 02:26","1/3225","-4.42","0","2064-2120","1/1526","-4.09","12.34","1776"
"57","2020MJ","23 - 50*","2102-06-12 10:45","1/17421","-4.42","0","2091-2107","1/11614","-4.24","20.39","1986"
"58","2016WG","60 - 130*","2076-06-23 07:10","1/378787","-4.44","0","2076-2102","1/162074","-4.08","26.11","3292"
"59","2007FT3","240 - 500*","2046-10-03 12:14","1/2.40E7","-4.46","0","2046-2118","1/9.35E6","-4.27","20.19","6252"
"60","2012MF7","11 - 25*","2046-06-21 21:10","1/7299","-4.47","0","2046-2096","1/6134","-4.42","14.16","4901"
"61","2017SF20","5 - 12*","2034-09-26 12:41","1/3003","-4.47","0","2034","1/3003","-4.47","15.30","2977"
"62","2017YM1","25 - 60*","2091-12-16 12:46","1/18518","-4.49","0","2048-2110","1/13422","-4.35","15.74","2894"
"63","2023TB2","50 - 110*","2116-09-01 06:11","1/54054","-4.50","0","2110-2119","1/41666","-4.39","13.11","781"
"64","2005ED224","40 - 80*","2030-03-11 04:40","1/5.52E6","-4.50","0","2028-2064","1/1.79E6","-4.44","29.11","6252"
"65","2008CC71","27 - 60*","2066-02-27 12:17","1/37313","-4.53","0","2034-2071","1/23584","-4.16","13.81","6252"
"66","2023SE2","19 - 40*","2049-09-25 23:42","1/86956","-4.53","0","2049-2055","1/57142","-4.36","27.12","798"
"67","2021TT1","16 - 40*","2048-10-09 17:15","1/27247","-4.57","0","2048","1/27247","-4.57","20.45","1513"
"68","2022WF15","8 - 17*","2033-11-28 14:34","1/10515","-4.57","0","2030-2033","1/10504","-4.57","16.56","1076"
"69","2010GM23","29 - 60*","2105-04-15 03:57","1/38610","-4.58","0","2087-2122","1/10460","-4.02","17.48","5709"
"70","2022WW11","11 - 26*","2050-11-29 04:37","1/10460","-4.58","0","2049-2068","1/10309","-4.57","17.46","1090"
"71","2016GU2","40 - 100*","2113-04-01 22:08","1/280898","-4.59","0","2113","1/271739","-4.57","40.73","3521"
"72","2000SB45","27 - 60*","2084-10-08 05:02","1/50251","-4.59","0","2074-2113","1/7936","-3.81","13.49","6252"
"73","2017FO63","60 - 130*","2097-11-13 18:29","1/442477","-4.60","0","2097-2108","1/440528","-4.60","31.34","3169"
"74","2012HG2","11 - 25*","2071-02-10 04:07","1/2816","-4.60","0","2052-2122","1/724","-4.01","11.66","4967"
"75","2025FC1","8 - 17*","2103-03-21 17:26","1/2450","-4.61","0","2103-2113","1/2136","-4.55","21.74","246"
"76","2014WA201","11 - 24*","2075-11-16 03:22","1/5405","-4.62","0","2075-2082","1/5347","-4.62","16.09","4020"
"77","2008HJ","18 - 40*","2081-05-02 12:04","1/13297","-4.64","0","2077-2121","1/3891","-4.20","13.48","6252"
"78","2024VC4","23 - 50*","2046-05-01 15:21","1/126742","-4.64","0","2046-2055","1/83333","-4.51","22.62","378"
"79","2025CL3","22 - 50*","2066-08-31 09:44","1/48076","-4.66","0","2057-2103","1/44642","-4.63","17.07","291"
"80","2021RB6","7 - 16*","2080-09-09 19:38","1/1273","-4.66","0","2075-2117","1/1175","-4.63","14.50","1536"
"81","2019TU","17 - 40*","2099-01-27 20:48","1/9900","-4.68","0","2094-2122","1/9615","-4.67","14.81","2245"
"82","2017LD","9 - 19*","2066-06-10 07:30","1/2178","-4.68","0","2053-2122","1/427","-4.12","12.05","3097"
"83","2025HX","8 - 19*","2051-10-25 15:48","1/6849","-4.69","0","2051-2124","1/6802","-4.69","16.98","218"
"84","1994GK","40 - 90*","2061-04-03 15:30","1/193423","-4.70","0","2044-2073","1/180831","-4.67","18.60","6252"
"85","1995CS","22 - 50*","2042-02-03 14:40","1/214592","-4.70","0","2042-2062","1/193798","-4.68","27.80","6252"
"86","2016RD34","8 - 19*","2051-05-18 21:48","1/2923","-4.72","0","2051-2122","1/1345","-4.43","11.24","3360"
"87","2011XC2","60 - 140*","2056-12-02 09:55","1/1.35E6","-4.72","0","2056","1/1.35E6","-4.72","23.57","5099"
"88","2021WA1","8 - 18*","2116-11-27 21:44","1/1923","-4.72","0","2116-2120","1/1677","-4.66","17.82","1460"
"89","2024QP2","130 - 290*","2111-10-18 15:46","1/1.25E6","-4.72","0","2111","1/1.25E6","-4.72","14.69","449"
"90","2023XE3","9 - 19*","2080-11-03 05:59","1/2092","-4.73","0","2053-2119","1/1449","-4.48","11.36","720"
"91","2008EZ84","14 - 30*","2073-03-09 23:41","1/12360","-4.75","0","2072-2122","1/5917","-4.44","13.69","6252"
"92","2020XF","12 - 27*","2089-11-30 12:04","1/3968","-4.76","0","2056-2121","1/1623","-4.27","11.65","1814"
"93","2024RW13","10 - 23*","2093-09-10 22:48","1/10362","-4.77","0","2085-2097","1/7518","-4.63","24.95","440"
"94","2013EV27","11 - 25*","2038-02-28 23:43","1/26041","-4.77","0","2038-2063","1/25906","-4.77","16.67","4645"
"95","2009TD17","7 - 16*","2039-05-08 11:35","1/7042","-4.77","0","2039-2122","1/2881","-4.40","12.74","5879"
"96","2019LU1","40 - 80*","2056-06-05 11:10","1/662251","-4.78","0","2056-2070","1/613496","-4.75","33.70","2366"
"97","2008ST7","40 - 90*","2094-09-10 01:43","1/105820","-4.79","0","2074-2105","1/37453","-4.37","15.00","6252"
"98","2024VK2","15 - 30*","2100-11-07 06:55","1/9009","-4.80","0","2100-2124","1/9009","-4.80","14.20","381"
"99","2021UJ6","6 - 14*","2055-06-06 05:09","1/4166","-4.80","0","2055-2110","1/4000","-4.78","20.78","1486"
"100","2010JH110","14 - 30*","2092-06-03 17:16","1/8771","-4.80","0","2071-2120","1/6896","-4.70","13.79","5672"
"101","2025FK14","3 - 7*","2080-03-23 21:41","1/304","-4.81","0","2080-2124","1/303","-4.81","13.96","242"
"102","2019WU2","30 - 80*","2093-11-04 16:01","1/91743","-4.82","0","2086-2109","1/76335","-4.74","16.06","2191"
"103","2000WJ107","50 - 110*","2119-11-20 05:43","1/232558","-4.82","0","2110-2119","1/130890","-4.56","16.97","2212"
"104","2011UM169","27 - 60*","2102-10-24 12:31","1/47393","-4.82","0","2099-2107","1/29498","-4.62","17.89","5142"
"105","2006CM10","120 - 270*","2092-08-12 11:24","1/3.57E6","-4.83","0","2092","1/3.57E6","-4.83","24.98","2262"
"106","2025DT4","27 - 60*","2115-09-04 11:55","1/67114","-4.84","0","2102-2120","1/31645","-4.51","20.82","275"
"107","2019QR3","10 - 23*","2078-08-31 22:35","1/5649","-4.85","0","2078-2087","1/3816","-4.68","15.67","2282"
"108","2014JU15","29 - 60*","2079-04-29 01:25","1/81967","-4.86","0","2075-2121","1/15384","-4.18","15.24","4222"
"109","2024RB3","8 - 18*","2117-09-09 13:29","1/2906","-4.87","0","2082-2122","1/2881","-4.87","17.86","446"
"110","2012EK5","20 - 40*","2095-03-24 11:39","1/37313","-4.88","0","2074-2111","1/22831","-4.64","18.81","4999"
"111","2016DK1","9 - 20*","2043-02-18 02:16","1/10330","-4.88","0","2043-2120","1/3030","-4.57","13.13","3558"
"112","2021EJ3","8 - 18*","2078-03-12 23:40","1/2409","-4.89","0","2078-2123","1/840","-4.54","11.39","1721"
"113","2007WP3","50 - 120*","2105-11-12 07:30","1/277008","-4.90","0","2098-2114","1/151515","-4.64","17.17","4654"
"114","2022VE1","40 - 80*","2099-06-22 06:43","1/189753","-4.90","0","2068-2118","1/88495","-4.55","20.51","1114"
"115","2012VE77","13 - 30*","2033-11-17 12:48","1/128865","-4.92","0","2033-2035","1/110011","-4.86","18.97","4759"
"116","2010QG2"," 38 ","2051-09-05 09:15","1/312500","-4.93","0","2051-2064","1/289017","-4.91","17.06","5564"
"117","2020HB3","26 - 60*","2121-05-04 23:07","1/43478","-4.94","0","2105-2121","1/36231","-4.86","15.98","2044"
"118","2011AM37","2.8 - 6*","2048-01-11 10:06","1/595","-4.94","0","2048-2108","1/246","-4.56","11.76","5334"
"119","2002RB182","60 - 130*","2110-09-27 05:18","1/689655","-4.94","0","2055-2120","1/156985","-4.26","18.62","6252"
"120","2020BW5","15 - 30*","2046-06-12 18:28","1/33783","-4.95","0","2046-2121","1/26315","-4.90","14.15","2132"
"121","2018GR4","11 - 24*","2058-03-07 07:09","1/7299","-4.95","0","2058-2120","1/6410","-4.91","11.48","2780"
"122","2020DF3","40 - 90*","2074-02-22 06:51","1/549450","-4.95","0","2065-2074","1/446428","-4.85","29.04","2100"
"123","2025DT1","5 - 11*","2072-02-29 02:53","1/1364","-4.95","0","2072-2115","1/1349","-4.95","13.52","277"
"124","2023SY5","8 - 18*","2089-09-22 15:36","1/4385","-4.96","0","2089","1/4385","-4.96","15.68","793"
"125","2024JR1","8 - 17*","2076-05-07 09:11","1/5714","-4.96","0","2076-2085","1/5649","-4.96","17.12","570"
"126","2007TC14","100 - 210*","2082-10-22 10:10","1/4.26E6","-4.96","0","2082","1/4.26E6","-4.96","27.89","6252"
"127","2022UV15","17 - 40*","2118-10-30 02:46","1/18726","-4.96","0","2075-2122","1/10288","-4.67","15.91","1122"
"128","2010KV7"," 13 ","2034-05-21 06:08","1/101936","-4.97","0","2034-2122","1/24570","-4.69","12.39","5668"
"129","2016NL39","9 - 19*","2079-06-29 20:02","1/2994","-4.97","0","2055-2121","1/2141","-4.83","11.85","3419"
"130","2015XA378","19 - 40*","2107-12-20 18:54","1/33898","-4.98","0","2084-2121","1/18148","-4.71","21.09","3633"
"131","2021YW","27 - 60*","2101-12-24 14:26","1/132275","-4.98","0","2093-2109","1/44642","-4.51","27.36","1424"
"132","2011SO189","13 - 29*","2056-09-24 11:51","1/31948","-4.99","0","2056-2090","1/9174","-4.63","17.20","5170"
"133","1996TC1","40 - 100*","2067-09-26 05:02","1/806451","-5.00","0","2054-2072","1/769230","-4.98","26.49","6252"
"134","2024AM","8 - 17*","2069-01-08 17:23","1/4975","-5.00","0","2069-2098","1/4975","-5.00","14.24","692"
"135","2016EO28","4 - 9*","2035-02-28 09:50","1/3676","-5.01","0","2035-2054","1/3436","-4.99","13.18","3551"
"136","2020VB5","8 - 18*","2037-11-17 16:25","1/28735","-5.01","0","2037","1/18587","-4.82","20.28","1837"
"137","2002UV36","14 - 30*","2087-10-26 07:53","1/10162","-5.02","0","2087","1/10162","-5.02","13.79","5322"
"138","2021KT2","6 - 13*","2065-06-01 11:44","1/2392","-5.02","0","2057-2108","1/2314","-5.01","13.91","1639"
"139","2012ES10","50 - 100*","2059-03-05 10:45","1/1.41E6","-5.03","0","2054-2062","1/735294","-4.75","26.80","5002"
"140","2019JO1","10 - 23*","2052-04-28 02:02","1/24509","-5.03","0","2044-2053","1/24038","-5.02","21.39","2398"
"141","2020YA3","17 - 40*","2073-12-22 00:47","1/37174","-5.06","0","2073-2102","1/35335","-5.04","16.55","1798"
"142","2021SU1","14 - 30*","2054-09-20 21:01","1/22371","-5.06","0","2054-2120","1/7874","-4.84","12.81","1519"
"143","2021TW2","20 - 50*","2102-10-10 12:11","1/19493","-5.06","0","2099-2121","1/17699","-5.02","11.81","1512"
"144","2017SH33","700 - 1600*","2026-04-30 08:35","1/1.53E8","-5.06","0","2026-2086","1/1.38E8","-5.06","27.67","2260"
"145","2009VA","5 - 10*","2026-11-07 01:32","1/60606","-5.06","0","2026-2043","1/52356","-5.05","13.90","5863"
"146","2009OW6","23 - 50*","2080-08-20 09:24","1/51813","-5.07","0","2074-2120","1/50251","-5.06","13.01","5964"
"147","2021VM1","20 - 40*","2102-04-30 02:30","1/37878","-5.07","0","2081-2102","1/25316","-4.86","18.36","1482"
"148","2025VM3","10 - 21*","2101-11-12 18:35","1/10080","-5.07","0","2101","1/4950","-4.76","19.81","12"
"149","2017VL2","18 - 40*","2098-11-09 16:24","1/19455","-5.08","0","2087-2121","1/7812","-4.72","13.94","2932"
"150","2009TH8","29 - 70*","2097-10-21 13:51","1/106382","-5.08","0","2068-2100","1/100300","-5.05","17.17","5885"
"151","2020UE","21 - 50*","2063-10-16 13:53","1/116550","-5.09","0","2042-2120","1/38314","-4.71","18.36","1865"
"152","2020KN2","15 - 30*","2063-06-08 09:04","1/31847","-5.09","0","2063-2122","1/29850","-5.07","13.67","2014"
"153","2021OV","8 - 18*","2029-01-18 05:29","1/80645","-5.10","0","2029-2119","1/46948","-5.04","17.90","1586"
"154","2005NX55","120 - 260*","2026-01-06 09:38","1/6.33E8","-5.10","0","2026-2122","1/1.71E7","-4.72","27.20","6252"
"155","2023EB","16 - 40*","2074-02-18 05:01","1/29154","-5.11","0","2053-2123","1/8928","-4.63","13.40","1000"
"156","2010GH7"," 8 ","2106-04-02 06:22","1/4273","-5.12","0","2104-2123","1/1733","-4.75","12.26","5711"
"157","2017GG8","16 - 40*","2066-03-31 12:16","1/45045","-5.12","0","2066-2078","1/40322","-5.08","16.01","3139"
"158","2023FX13","22 - 50*","2077-04-10 04:35","1/76923","-5.12","0","2071-2085","1/49261","-4.92","16.89","970"
"159","2018JN","26 - 60*","2120-04-24 04:02","1/47169","-5.13","0","2100-2120","1/40000","-5.04","13.61","2759"
"160","2022WE5","8 - 19*","2088-12-02 11:23","1/4651","-5.13","0","2084-2120","1/4566","-5.12","13.81","1096"
"161","2025BT2","11 - 25*","2044-01-14 02:53","1/76335","-5.14","0","2040-2044","1/76335","-5.14","20.05","307"
"162","2018EV3","10 - 22*","2121-03-06 02:35","1/7092","-5.14","0","2081-2121","1/6896","-5.13","16.83","2812"
"163","2014JR24","4 - 8*","2069-05-01 22:19","1/806","-5.15","0","2069-2121","1/719","-5.11","11.78","4221"
"164","2010DG77"," 315 ","2066-01-05 21:49","1/2.01E8","-5.15","0","2066","1/2.01E8","-5.15","19.18","5740"
"165","2017OE7","14 - 30*","2114-08-23 12:01","1/11764","-5.15","0","2114","1/11764","-5.15","11.98","3043"
"166","2022OH2","9 - 21*","2097-08-03 22:41","1/4098","-5.16","0","2088-2121","1/1763","-4.79","11.75","1217"
"167","2006JE","40 - 90*","2106-05-02 07:20","1/806451","-5.16","0","2094-2106","1/769230","-5.14","28.65","2261"
"168","2009WP6","11 - 24*","2074-11-16 09:56","1/47393","-5.16","0","2067-2120","1/23529","-4.90","27.70","5850"
"169","2017RV2","15 - 30*","2094-09-10 07:27","1/18181","-5.16","0","2082-2121","1/6024","-4.73","12.92","2990"
"170","2011MX","10 - 23*","2081-06-19 08:11","1/16025","-5.16","0","2070-2092","1/8000","-4.86","16.51","5267"
"171","2007KO4","50 - 120*","2046-11-23 22:02","1/2.48E6","-5.18","0","2030-2121","1/666666","-4.74","17.42","6252"
"172","2011OB26","22 - 50*","2115-08-11 23:18","1/46296","-5.18","0","2094-2121","1/18484","-4.76","15.67","5228"
"173","2022UO28","6 - 14*","2089-10-28 11:28","1/4115","-5.18","0","2087-2096","1/3816","-5.15","16.54","1119"
"174","2021SQ","6 - 12*","2062-09-20 22:02","1/3663","-5.18","0","2062-2068","1/3401","-5.15","15.38","1523"
"175","2024CU","15 - 30*","2110-02-09 22:42","1/17761","-5.19","0","2079-2123","1/5291","-4.66","13.39","659"
"176","2006HF6","30 - 70*","2070-04-19 01:52","1/413223","-5.19","0","2053-2112","1/99999","-4.59","19.85","6252"
"177","2016VB1","5 - 12*","2093-11-05 03:09","1/1721","-5.20","0","2065-2122","1/515","-4.68","12.42","3306"
"178","2013GM3","15 - 30*","2028-04-13 21:56","1/478468","-5.21","0","2028-2122","1/6756","-4.44","13.26","4617"
"179","2021EO2","7 - 16*","2037-03-25 05:52","1/18518","-5.21","0","2037-2121","1/11587","-5.15","12.60","1724"
"180","2021FM2","2.4 - 5*","2070-03-21 09:03","1/641","-5.22","0","2070-2083","1/636","-5.22","15.58","1709"
"181","2023WG2","12 - 27*","2089-11-17 21:31","1/44444","-5.23","0","2089-2121","1/24752","-4.98","24.73","734"
"182","2020WG5","7 - 16*","2086-11-25 01:18","1/4524","-5.24","0","2086-2121","1/3378","-5.15","12.67","1824"
"183","2020XE","16 - 40*","2040-05-27 05:12","1/310559","-5.25","0","2040-2075","1/308641","-5.25","26.58","1816"
"184","2012BA77","19 - 40*","2065-10-09 19:42","1/90090","-5.26","0","2028-2088","1/44642","-4.85","16.97","5051"
"185","2020PQ2","40 - 90*","2066-08-19 07:04","1/833333","-5.27","0","2066-2093","1/729927","-5.23","23.28","1928"
"186","2002VU17","29 - 60*","2084-11-16 21:35","1/238095","-5.27","0","2084-2099","1/75757","-4.83","17.66","5322"
"187","2021EL3","5 - 11*","2101-03-07 01:18","1/1273","-5.28","0","2088-2122","1/366","-4.76","12.42","1721"
"188","2020DJ1","29 - 60*","2114-07-30 21:12","1/144300","-5.28","0","2101-2121","1/74626","-4.99","17.94","2107"
"189","2011EB74","10 - 22*","2054-03-16 12:19","1/30769","-5.29","0","2033-2119","1/4464","-4.54","13.39","5334"
"190","2023HV5","10 - 23*","2089-05-02 13:30","1/12330","-5.29","0","2081-2095","1/11600","-5.26","14.30","944"
"191","2020JK","40 - 90*","2084-05-17 23:39","1/793650","-5.29","0","2066-2121","1/107874","-4.57","22.02","2032"
"192","2016SA2","7 - 15*","2120-09-25 20:01","1/2057","-5.29","0","2110-2122","1/714","-4.82","12.33","3347"
"193","2023XJ2","40 - 80*","2109-12-03 09:34","1/200000","-5.30","0","2109","1/199999","-5.30","12.82","721"
"194","2013BL18","16 - 40*","2086-01-14 07:26","1/65359","-5.30","0","2083-2092","1/45871","-5.15","18.06","4694"
"195","2022YW6","5 - 11*","2046-12-22 03:12","1/22371","-5.31","0","2046-2090","1/12062","-5.06","31.41","1062"
"196","2022UL11","4 - 9*","2103-10-24 21:40","1/1412","-5.31","0","2096-2121","1/609","-4.97","14.29","1126"
"197","2013HL167","8 - 17*","2081-05-08 10:59","1/7246","-5.31","0","2056-2125","1/2747","-4.95","13.16","115"
"198","2006BC8","26 - 60*","2103-07-27 11:10","1/127388","-5.32","0","2050-2121","1/75757","-5.06","17.26","6252"
"199","2020BK3","11 - 26*","2091-01-20 21:00","1/17035","-5.33","0","2091-2118","1/16920","-5.33","15.26","2134"
"200","2010XB","3 - 7*","2036-11-30 06:03","1/9259","-5.34","0","2036-2048","1/9259","-5.34","22.49","5334"
"201","2021JA1","21 - 50*","2119-05-08 02:53","1/113250","-5.36","0","2107-2121","1/56497","-5.05","23.77","1666"
"202","2015KG158","6 - 12*","2071-05-14 21:29","1/4784","-5.36","0","2045-2121","1/3759","-5.27","13.57","3823"
"203","2022WF1","40 - 80*","2110-11-10 15:02","1/296735","-5.36","0","2110-2122","1/211416","-5.22","16.33","1104"
"204","2014UD57","19 - 40*","2086-10-21 05:08","1/62111","-5.37","0","2076-2120","1/42553","-5.25","14.18","4049"
"205","2005EL70","40 - 80*","2034-03-05 23:20","1/8.62E6","-5.37","0","2034-2058","1/8.62E6","-5.37","37.25","6252"
"206","2000LG6","4 - 9*","2088-05-27 05:44","1/1254","-5.38","0","2082-2122","1/694","-5.14","11.38","6252"
"207","2007UO6","9 - 21*","2031-10-17 06:01","1/126742","-5.38","0","2031-2113","1/50761","-5.17","16.18","6252"
"208","2012SY49","18 - 40*","2048-09-28 18:27","1/263157","-5.38","0","2031-2120","1/107642","-5.07","19.23","4811"
"209","2007DS7","18 - 40*","2075-02-17 10:06","1/97087","-5.38","0","2048-2121","1/46728","-5.14","16.68","6252"
"210","2006SC","24 - 50*","2053-09-13 14:41","1/323624","-5.38","0","2053-2121","1/322580","-5.38","16.57","6252"
"211","2014YN","20 - 40*","2110-11-10 12:13","1/36764","-5.38","0","2093-2119","1/10460","-4.83","11.65","3993"
"212","2020YN","8 - 19*","2046-12-15 21:21","1/38610","-5.38","0","2046-2047","1/36231","-5.35","19.67","1804"
"213","2006QN111","50 - 110*","2079-08-16 11:08","1/709219","-5.38","0","2079","1/709219","-5.38","15.37","6252"
"214","2017FN1","1.9 - 4*","2033-03-20 22:58","1/4761","-5.39","0","2033-2072","1/4587","-5.39","21.14","3172"
"215","2023XZ11","25 - 60*","2078-12-15 10:23","1/274725","-5.39","0","2078","1/274725","-5.39","18.34","714"
"216","2021RF16","4 - 10*","2052-09-16 11:39","1/4048","-5.39","0","2049-2053","1/3649","-5.34","14.02","1534"
"217","2025HM4","16 - 40*","2102-05-03 09:47","1/78740","-5.39","0","2083-2124","1/25641","-4.92","21.89","214"
"218","2005XA8","18 - 40*","2076-12-05 17:43","1/126903","-5.40","0","2063-2091","1/33557","-4.83","16.47","6252"
"219","2004VM24","19 - 40*","2090-11-13 06:00","1/113122","-5.40","0","2049-2119","1/35460","-4.87","17.05","6252"
"220","2023TL3","22 - 50*","2066-10-06 17:52","1/297619","-5.41","0","2066-2069","1/265251","-5.36","19.76","779"
"221","2024DB1","60 - 140*","2090-02-13 17:00","1/3.30E6","-5.41","0","2067-2109","1/2.45E6","-5.26","26.02","645"
"222","2022UU14","30 - 80*","2094-06-22 00:18","1/925926","-5.41","0","2048-2115","1/436681","-4.94","31.03","1123"
