"No.","Object designation","Diameter in m","Impact date/time in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"1004","2012BW13","9 - 21*","2095-01-27 14:25","1/1.09E6","-7.26","0","2072-2121","1/478468","-6.94","16.13","5057"
"1005","2024RE16","10 - 22*","2046-09-08 20:42","1/9.09E6","-7.26","0","2046","1/9.09E6","-7.26","24.77","439"
"1006","2018BC","3 - 8*","2091-01-10 20:38","1/58479","-7.27","0","2083-2111","1/34129","-7.04","11.37","2869"
"1007","2018DB","8 - 18*","2119-02-24 15:19","1/735294","-7.27","0","2068-2121","1/645161","-7.20","19.63","2837"
"1008","2008CJ","8 - 18*","2106-02-02 01:44","1/724637","-7.27","0","2061-2106","1/724637","-7.27","12.95","4644"
"1009","2009TB","3 - 8*","2026-09-30 14:00","1/1.14E6","-7.28","0","2026-2083","1/127713","-6.88","13.18","5896"
"1010","2024XE6","7 - 16*","2117-06-04 02:43","1/719424","-7.28","0","2117","1/662251","-7.25","21.28","355"
"1011","2021PA15","16 - 40*","2114-08-06 06:57","1/2.35E6","-7.28","0","2114","1/2.35E6","-7.28","14.32","1564"
"1012","2009SD15","10 - 22*","2121-09-15 15:01","1/1.44E6","-7.28","0","2081-2121","1/1.3E6","-7.23","17.72","5910"
"1013","2023HM","8 - 17*","2054-04-14 14:36","1/2.86E6","-7.28","0","2051-2120","1/1.95E6","-7.19","22.82","953"
"1014","2023HF7","12 - 27*","2064-05-01 01:55","1/4.35E6","-7.28","0","2064","1/4.35E6","-7.28","17.57","941"
"1015","2022AT1","16 - 40*","2122-01-04 19:39","1/2.70E6","-7.28","0","2122","1/2.7E6","-7.28","16.69","1418"
"1016","2021JY3","6 - 14*","2102-05-14 10:01","1/166389","-7.28","0","2077-2111","1/86956","-7.00","11.82","1660"
"1017","2010JH80","30 - 70*","2082-05-05 10:45","1/7.52E7","-7.28","0","2074-2082","1/7.19E7","-7.26","29.13","5674"
"1018","2024YD","9 - 21*","2119-12-23 06:40","1/884955","-7.29","0","2115-2119","1/540540","-7.08","15.35","341"
"1019","2015YM1","5 - 12*","2096-06-16 15:47","1/220264","-7.29","0","2096-2121","1/160771","-7.17","13.09","3629"
"1020","2006BF56","3 - 8*","2106-01-28 16:05","1/189393","-7.29","0","2092-2118","1/44642","-6.68","28.49","4652"
"1021","2023HG7","11 - 25*","2117-04-28 19:19","1/1.27E6","-7.29","0","2116-2121","1/1.16E6","-7.25","16.42","941"
"1022","2017FL64","5 - 12*","2118-02-25 12:40","1/110253","-7.29","0","2118","1/110253","-7.29","11.44","3168"
"1023","2011FA23","4 - 9*","2063-03-31 07:01","1/408163","-7.30","0","2036-2120","1/231481","-7.14","18.16","4652"
"1024","2023WY12","40 - 100*","2064-10-30 15:52","1/3.92E7","-7.30","0","2064-2112","1/3.89E7","-7.29","18.45","719"
"1025","2025UR11","4 - 9*","2123-10-31 10:22","1/83333","-7.30","0","2103-2125","1/63291","-7.18","13.17","26"
"1026","2025UN","5 - 11*","2125-10-18 08:36","1/164744","-7.31","0","2091-2125","1/100806","-7.10","14.97","39"
"1027","2024YR6","2.9 - 7*","2068-12-26 11:00","1/104275","-7.31","0","2055-2123","1/31446","-6.88","12.93","332"
"1028","2020UC4","17 - 40*","2118-06-19 01:01","1/2.65E6","-7.31","0","2084-2120","1/1.05E6","-6.87","14.01","1859"
"1029","2021VW6","4 - 10*","2102-11-14 01:09","1/236406","-7.31","0","2075-2116","1/67114","-6.76","20.40","1476"
"1030","2022VF","7 - 16*","2092-05-03 19:56","1/425531","-7.31","0","2090-2121","1/131926","-6.88","12.87","1119"
"1031","2010XU","23 - 50*","2093-08-19 22:40","1/7.58E6","-7.31","0","2058-2093","1/6.99E6","-7.26","12.80","5334"
"1032","2024JZ64","19 - 40*","2082-06-19 19:09","1/8.77E6","-7.31","0","2082-2119","1/3.88E6","-7.05","15.98","43"
"1033","2024UB5","6 - 14*","2089-03-21 22:45","1/526315","-7.32","0","2088-2122","1/193050","-6.97","15.78","394"
"1034","2017MD1","28 - 60*","2072-02-10 03:09","1/2.73E7","-7.32","0","2067-2093","1/1.42E7","-7.03","17.60","3077"
"1035","2020KU","5 - 12*","2089-05-24 02:06","1/230946","-7.32","0","2079-2108","1/75187","-6.83","13.15","2017"
"1036","2020TK3","9 - 20*","2102-10-19 03:05","1/793650","-7.32","0","2063-2109","1/250000","-6.82","15.86","1871"
"1037","2018FQ3","5 - 11*","2114-03-20 06:20","1/214592","-7.33","0","2070-2114","1/87719","-6.91","15.56","2805"
"1038","2016TC57","10 - 23*","2112-10-14 08:58","1/1.02E6","-7.33","0","2112","1/1.02E6","-7.33","14.19","3328"
"1039","2023KU2","9 - 21*","2117-05-28 02:57","1/1.32E6","-7.33","0","2064-2117","1/1.03E6","-7.13","18.74","916"
"1040","2019RQ2","23 - 50*","2080-12-24 05:24","1/1.22E7","-7.33","0","2080-2105","1/1.12E7","-7.30","16.46","2270"
"1041","2016EP84","9 - 20*","2092-02-01 02:44","1/632911","-7.33","0","2084-2120","1/621118","-7.32","11.42","3548"
"1042","2023HL5","9 - 19*","2110-10-23 10:34","1/675675","-7.33","0","2081-2122","1/283286","-6.95","13.87","944"
"1043","2011CF22","1.6 - 4*","2031-02-07 12:58","1/510204","-7.33","0","2031-2120","1/23696","-6.77","22.56","5334"
"1044","2025AH4","2.7 - 6*","2074-01-01 07:52","1/127388","-7.34","0","2044-2123","1/19607","-6.68","18.50","312"
"1045","2021EP3","12 - 28*","2113-03-16 06:32","1/3.45E6","-7.34","0","2101-2116","1/980392","-6.84","22.43","1720"
"1046","2023BZ3","4 - 10*","2078-01-30 15:24","1/180180","-7.34","0","2078-2120","1/31152","-6.74","12.95","1035"
"1047","2021VQ10","11 - 24*","2055-11-07 13:22","1/3.83E6","-7.34","0","2054-2118","1/473933","-6.68","18.14","1474"
"1048","2021VN10","7 - 15*","2079-11-10 21:41","1/574712","-7.34","0","2079","1/574712","-7.34","15.55","1475"
"1049","2024TY13","5 - 12*","2079-10-09 22:47","1/757575","-7.35","0","2079-2083","1/729927","-7.33","21.91","409"
"1050","2012SU9","9 - 21*","2111-01-11 14:09","1/1.06E6","-7.35","0","2084-2122","1/571428","-7.06","15.60","4815"
"1051","2018TS6","6 - 14*","2104-10-03 01:12","1/301204","-7.35","0","2068-2120","1/273972","-7.31","13.38","2591"
"1052","2023CC3","11 - 24*","2061-01-27 19:41","1/2.60E6","-7.35","0","2043-2121","1/1.01E6","-7.14","13.26","1015"
"1053","2020SY4","9 - 21*","2097-09-30 08:45","1/1.41E6","-7.35","0","2069-2097","1/1.21E6","-7.26","19.46","1886"
"1054","2017SS12","10 - 22*","2089-09-24 20:32","1/1.44E6","-7.35","0","2074-2113","1/469483","-6.87","15.05","2983"
"1055","2019MT2","14 - 30*","2109-07-07 03:28","1/2.64E6","-7.35","0","2109","1/2.33E6","-7.30","15.95","2339"
"1056","2024UB11","2.8 - 6*","2095-10-30 23:04","1/99009","-7.36","0","2095","1/99009","-7.36","18.23","391"
"1057","2018GG4","16 - 30*","2070-04-12 18:36","1/9.43E6","-7.36","0","2070","1/9.43E6","-7.36","20.42","2781"
"1058","2021GR","7 - 15*","2097-04-02 10:20","1/327868","-7.36","0","2089-2121","1/99999","-6.84","13.21","1697"
"1059","1998BT13"," 20 ","2032-01-23 07:46","1/2.72E7","-7.37","0","2032","1/2.72E7","-7.37","13.66","6252"
"1060","2016EG28","7 - 16*","2099-03-04 16:00","1/862068","-7.37","0","2079-2122","1/781250","-7.34","18.45","3552"
"1061","2016WN7","7 - 15*","2095-11-22 02:51","1/465116","-7.37","0","2095","1/465116","-7.37","12.77","3282"
"1062","2015QS8","12 - 26*","2116-08-25 06:18","1/1.32E6","-7.37","0","2116","1/1.32E6","-7.37","13.77","2260"
"1063","2017FW158","5 - 11*","2120-11-20 20:34","1/373134","-7.37","0","2049-2120","1/160771","-6.97","18.92","3139"
"1064","2011SE58","9 - 19*","2055-09-27 16:11","1/2.64E6","-7.37","0","2042-2063","1/2.45E6","-7.32","19.27","5175"
"1065","2021TV1","6 - 15*","2072-10-03 02:58","1/571428","-7.37","0","2072","1/571428","-7.37","14.97","1513"
"1066","2021RN","13 - 28*","2105-09-02 05:35","1/3.08E6","-7.37","0","2105-2112","1/2.38E6","-7.26","20.87","1543"
"1067","2025PM1","19 - 40*","2120-08-21 05:04","1/3.82E6","-7.37","0","2120","1/3.82E6","-7.37","12.27","111"
"1068","2008BN16","16 - 40*","2083-01-21 22:33","1/1.22E7","-7.38","0","2067-2124","1/6.62E6","-7.22","22.02","6252"
"1069","2024XC","14 - 30*","2122-11-30 14:22","1/3.86E6","-7.38","0","2111-2122","1/1.72E6","-7.02","18.61","360"
"1070","2012HE31","15 - 30*","2100-09-14 18:54","1/4.95E6","-7.38","0","2046-2109","1/1.55E6","-6.78","15.41","4958"
"1071","2021PL132","5 - 12*","2086-08-02 22:10","1/408163","-7.38","0","2086-2119","1/389105","-7.37","16.87","1456"
"1072","2021RG12","4 - 9*","2095-09-07 02:35","1/93457","-7.39","0","2085-2095","1/90090","-7.37","11.48","1535"
"1073","2000SZ162","9 - 20*","2070-06-22 13:43","1/1.37E6","-7.39","0","2066-2120","1/480769","-7.02","11.93","6252"
"1074","2007VC3","28 - 60*","2098-10-27 15:20","1/2.06E7","-7.39","0","2098-2105","1/1.07E7","-7.12","16.35","1209"
"1075","2023HO","23 - 50*","2084-04-10 14:12","1/3.62E7","-7.40","0","2084","1/3.62E7","-7.40","27.67","953"
"1076","2020TD5","13 - 29*","2118-10-09 03:13","1/1.92E6","-7.40","0","2118","1/1.92E6","-7.40","14.43","1868"
"1077","2023UY","2.8 - 6*","2081-10-14 09:50","1/86206","-7.40","0","2081-2122","1/58139","-7.28","13.60","770"
"1078","2014KC45","3 - 7*","2066-05-26 23:39","1/188323","-7.40","0","2066-2122","1/54945","-6.99","14.29","4200"
"1079","2025ML2","22 - 50*","2117-06-21 11:24","1/6.54E6","-7.40","0","2097-2125","1/2.45E6","-6.96","13.08","156"
"1080","2025UJ1","8 - 18*","2115-03-15 03:09","1/1.23E6","-7.41","0","2081-2123","1/1.19E6","-7.39","18.86","38"
"1081","2025BN6","6 - 14*","2090-01-24 22:24","1/546448","-7.41","0","2072-2121","1/137174","-6.86","13.94","301"
"1082","2010VN1","6 - 13*","2054-11-02 22:58","1/1.04E6","-7.41","0","2050-2066","1/694444","-7.25","15.68","5500"
"1083","2016WU","9 - 19*","2109-05-16 03:47","1/854700","-7.41","0","2089-2122","1/819672","-7.39","13.22","3291"
"1084","2018LD1","14 - 30*","2116-09-19 06:29","1/2.79E6","-7.41","0","2088-2116","1/2.25E6","-7.28","15.58","2729"
"1085","2010RM80","7 - 16*","2116-09-05 16:42","1/353356","-7.41","0","2092-2121","1/116550","-6.91","12.40","5553"
"1086","2022RJ2","12 - 26*","2080-09-12 05:35","1/3.45E6","-7.41","0","2072-2092","1/2.92E6","-7.33","19.52","1178"
"1087","2022CU4","4 - 9*","2114-02-06 09:40","1/75757","-7.41","0","2087-2121","1/22988","-6.85","12.03","1386"
"1088","2003DW10","17 - 40*","2054-03-02 09:49","1/9.80E6","-7.41","0","2048-2066","1/5.81E6","-7.14","13.65","6252"
"1089","2020VV6","6 - 13*","2072-05-23 09:42","1/680272","-7.41","0","2063-2100","1/505050","-7.29","17.44","1831"
"1090","2024KG","90 - 190*","2122-05-16 07:46","1/3.66E8","-7.42","0","2122","1/3.66E8","-7.42","19.42","547"
"1091","2017YD1","2.7 - 6*","2102-12-11 23:03","1/38910","-7.42","0","2102","1/38910","-7.42","11.49","2894"
"1092","2021VM22","9 - 20*","2094-11-09 08:09","1/1.10E6","-7.42","0","2090-2109","1/775193","-7.28","14.42","1471"
"1093","2021VT4","10 - 23*","2058-11-07 08:54","1/6.13E6","-7.42","0","2058-2108","1/1.53E6","-7.07","22.87","1477"
"1094","2006HE2","12 - 28*","2081-10-06 10:21","1/2.79E6","-7.42","0","2065-2120","1/625000","-6.86","12.25","6252"
"1095","2025KJ1","7 - 16*","2098-11-23 20:31","1/645161","-7.42","0","2078-2124","1/68493","-6.50","13.93","187"
"1096","2025SV6","10 - 22*","2125-10-17 10:03","1/833333","-7.42","0","2125","1/833333","-7.42","12.09","63"
"1097","2017UM52","4 - 8*","2119-04-16 16:56","1/77519","-7.42","0","2087-2124","1/21097","-6.82","11.50","2902"
"1098","2025TP1","8 - 18*","2075-10-02 19:53","1/1.87E6","-7.43","0","2074-2075","1/1E6","-7.15","16.72","53"
"1099","2024SN1","9 - 20*","2078-09-26 22:47","1/2.92E6","-7.43","0","2078-2103","1/2.18E6","-7.34","19.56","426"
"1100","2021FO1","4 - 8*","2112-03-24 12:38","1/82644","-7.43","0","2091-2121","1/41493","-7.11","13.32","1711"
"1101","2024EJ2","14 - 30*","2107-03-09 23:32","1/5.41E6","-7.43","0","2107-2117","1/3.29E6","-7.24","18.57","629"
"1102","2018RR1","2.9 - 6*","2103-09-07 03:00","1/42553","-7.43","0","2083-2122","1/33444","-7.32","12.02","2635"
"1103","2021RQ2","4 - 8*","2118-09-07 10:44","1/57471","-7.43","0","2074-2119","1/37174","-7.20","11.63","1541"
"1104","2025FH25","5 - 11*","2056-03-22 17:11","1/751879","-7.43","0","2056-2123","1/128534","-6.93","14.70","232"
"1105","2018JL1","12 - 27*","2114-05-15 15:33","1/1.53E6","-7.44","0","2112-2114","1/1.02E6","-7.26","12.77","2756"
"1106","2023SS5","6 - 14*","2097-09-16 08:38","1/454545","-7.44","0","2070-2117","1/154083","-6.98","15.04","794"
"1107","2009WJ6","8 - 19*","2049-11-20 12:41","1/4.93E6","-7.44","0","2049-2056","1/4.61E6","-7.42","21.33","5850"
"1108","2024CY1","4 - 9*","2102-02-13 14:53","1/246913","-7.45","0","2060-2123","1/124533","-7.10","18.16","655"
"1109","2013YB","1.3 - 2.8*","2031-12-24 03:29","1/125156","-7.45","0","2026-2046","1/42918","-7.04","14.27","3997"
"1110","2010UE","3 - 7*","2031-10-16 17:51","1/2.83E6","-7.45","0","2031","1/2.83E6","-7.45","21.56","5518"
"1111","2021WM4","9 - 19*","2081-11-29 01:49","1/1.63E6","-7.45","0","2075-2085","1/813008","-7.15","19.59","1456"
"1112","2024YX8","16 - 40*","2118-08-05 08:45","1/8.93E6","-7.46","0","2068-2118","1/7.81E6","-7.36","22.54","331"
"1113","2005TH50","8 - 17*","2055-11-30 08:15","1/1.08E6","-7.46","0","2055-2118","1/546448","-7.29","12.15","6252"
"1114","2021PM1","24 - 50*","2056-10-03 03:15","1/2.74E7","-7.46","0","2056-2103","1/2.73E7","-7.46","14.89","1573"
"1115","2024RC13","6 - 12*","2120-09-05 23:05","1/307692","-7.47","0","2101-2122","1/90909","-6.92","13.10","440"
"1116","2024JH3","5 - 11*","2066-05-03 23:53","1/561797","-7.47","0","2059-2068","1/348432","-7.25","14.54","567"
